bundle,downstream_accuracy_linear,downstream_accuracy_random_forest,downstream_accuracy_xgboost,downstream_average_precision_linear,downstream_average_precision_random_forest,downstream_average_precision_xgboost,downstream_balanced_accuracy_linear,downstream_balanced_accuracy_random_forest,downstream_balanced_accuracy_xgboost,downstream_f1_linear,downstream_f1_random_forest,downstream_f1_xgboost,downstream_roc_auc_linear,downstream_roc_auc_random_forest,downstream_roc_auc_xgboost,downstream_runtime_seconds,imputation_mae,imputation_nmae,imputation_nrmse,imputation_rmse,imputation_runtime_seconds,method,missing_fraction,pattern,seed,status,error
pattern_mar_logistic__frac_0p100__seed_0,0.8673469387755102,0.8367346938775511,0.8163265306122449,0.3978017857704713,0.3536319644725587,0.3693403995825157,0.5666666666666667,0.5485943775100401,0.563855421686747,0.23529411764705882,0.2,0.25,0.7036144578313254,0.7357429718875502,0.7550200803212852,2.807215833978262,32.61290976434569,0.1344307904548462,0.17083469591486702,41.44449722894674,,global_mean,0.1,mar_logistic,0,ok,
pattern_mar_logistic__frac_0p100__seed_0,0.8673469387755102,0.8469387755102041,0.826530612244898,0.4137350063585132,0.32633709443474385,0.33998820460585166,0.5666666666666667,0.5546184738955824,0.5698795180722892,0.23529411764705882,0.21052631578947367,0.2608695652173913,0.689156626506024,0.7188755020080322,0.7526104417670683,0.6980141670210287,34.342923863023216,0.1415619285367816,0.17950236515782367,43.54727378728802,,row_mean,0.1,mar_logistic,0,ok,
pattern_mar_logistic__frac_0p100__seed_0,0.8367346938775511,0.8061224489795918,0.8061224489795918,0.41575521980357233,0.38837824153503053,0.33287759867950906,0.6032128514056225,0.5578313253012048,0.6124497991967871,0.3333333333333333,0.24,0.3448275862068966,0.7871485943775101,0.770281124497992,0.7742971887550201,0.7170117499772459,4.559948067378958,0.01879615856298004,0.04690031019739426,11.378015253887847,,soft_impute,0.1,mar_logistic,0,ok,
pattern_mar_logistic__frac_0p100__seed_0,0.826530612244898,0.8163265306122449,0.7755102040816326,0.4007530229886471,0.32317473846110667,0.29944282596184946,0.542570281124498,0.563855421686747,0.5124497991967871,0.19047619047619047,0.25,0.15384615384615385,0.7919678714859438,0.742570281124498,0.7694779116465863,0.6885901670320891,3.338717548113705,0.013762232267575041,0.034170403378793485,8.289739859695299,,tab_impute,0.1,mar_logistic,0,ok,
pattern_mar_logistic__frac_0p100__seed_1,0.8469387755102041,0.8673469387755102,0.8775510204081632,0.24331959210352475,0.347775088818297,0.34522874325803393,0.48823529411764705,0.532579185520362,0.5384615384615384,0.0,0.13333333333333333,0.14285714285714285,0.6660633484162896,0.7570135746606335,0.7855203619909503,0.6971897080074996,31.801633617544862,0.1310867008142822,0.164015474107022,39.79015401836354,,global_mean,0.1,mar_logistic,1,ok,
pattern_mar_logistic__frac_0p100__seed_1,0.8469387755102041,0.8673469387755102,0.8775510204081632,0.20316460434772185,0.3231048680126819,0.33888598795641883,0.48823529411764705,0.532579185520362,0.5384615384615384,0.0,0.13333333333333333,0.14285714285714285,0.6588235294117648,0.7307692307692308,0.7601809954751131,0.715446415997576,33.36638716961878,0.13753663301574107,0.17203373718163326,41.73538464026423,,row_mean,0.1,mar_logistic,1,ok,
pattern_mar_logistic__frac_0p100__seed_1,0.8571428571428571,0.8673469387755102,0.8775510204081632,0.4233928961608659,0.33851289831834225,0.30924819103631823,0.5918552036199095,0.532579185520362,0.5384615384615384,0.3,0.13333333333333333,0.14285714285714285,0.8,0.7561085972850679,0.7312217194570136,0.732815292023588,4.25507717771968,0.017539477237096784,0.04444552324673233,10.782483939657263,,soft_impute,0.1,mar_logistic,1,ok,
pattern_mar_logistic__frac_0p100__seed_1,0.8571428571428571,0.8571428571428571,0.8469387755102041,0.42918247751711497,0.3854073333280657,0.30298988323149323,0.5918552036199095,0.5592760180995475,0.5208144796380091,0.3,0.2222222222222222,0.11764705882352941,0.8190045248868778,0.7402714932126697,0.7149321266968326,0.7026229579932988,3.4223734766979614,0.014107062970725316,0.034089642769492,8.27014733587876,,tab_impute,0.1,mar_logistic,1,ok,
pattern_mar_logistic__frac_0p100__seed_2,0.9081632653061225,0.9285714285714286,0.9285714285714286,0.41373538040204705,0.5905866599221052,0.46066265066265066,0.5499375780274657,0.6111111111111112,0.6610486891385767,0.18181818181818182,0.36363636363636365,0.46153846153846156,0.8901373283395755,0.8976279650436954,0.8626716604244694,0.7213486249675043,33.1225782507027,0.1881964673335381,0.2371320284500962,41.73523700721693,,global_mean,0.1,mar_logistic,2,ok,
pattern_mar_logistic__frac_0p100__seed_2,0.9081632653061225,0.9081632653061225,0.9285714285714286,0.39104512021178695,0.5539415241932404,0.529149249794411,0.5499375780274657,0.5,0.6610486891385767,0.18181818181818182,0.0,0.46153846153846156,0.8813982521847691,0.8614232209737828,0.8714107365792759,0.7372801669989713,34.73560493447846,0.19736139167317307,0.24914402509440567,43.8493484166154,,row_mean,0.1,mar_logistic,2,ok,
