bundle,downstream_r2_linear,downstream_r2_linear_mi_mean,downstream_r2_linear_mi_pooled,downstream_r2_linear_mi_std,downstream_r2_random_forest,downstream_r2_random_forest_mi_mean,downstream_r2_random_forest_mi_pooled,downstream_r2_random_forest_mi_std,downstream_r2_xgboost,downstream_r2_xgboost_mi_mean,downstream_r2_xgboost_mi_pooled,downstream_r2_xgboost_mi_std,imputation_mae,imputation_nmae,imputation_nrmse,imputation_rmse,mae_mi_between_var,mae_mi_mean,mae_mi_std,method,missing_fraction,nmae_mi_between_var,nmae_mi_mean,nmae_mi_std,nrmse_mi_between_var,nrmse_mi_mean,nrmse_mi_std,pattern,rmse_mi_between_var,rmse_mi_mean,rmse_mi_std,seed,status
pattern_mar_logistic__frac_0p100__seed_0,0.13169184683666724,,,,0.9581528145282753,,,,0.9398050198097302,,,,33.55066536786495,0.19062878049923268,0.23368971088145826,41.129389115136654,,,,global_mean,0.1,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p100__seed_0,0.11332358137980147,,,,0.9485531711977231,,,,0.9336956093438223,,,,34.92633921465195,0.19844510917415878,0.24431614282217362,42.99964113670256,,,,row_mean,0.1,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p100__seed_0,0.9810572723903357,,,,0.9804350363170764,,,,0.9712791075184227,,,,4.099844552510765,0.023294571321083892,0.053131604377117385,9.35116237037266,,,,soft_impute,0.1,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p100__seed_0,,0.9209724116209733,0.9449587456966303,0.017500597374110076,,0.9255321594243204,0.9408007656905462,0.02221297425464506,,0.8940860611193998,0.92334666796354,0.04275192023733376,,,,,0.01128099258811412,5.362028002354994,0.08672174886041802,mi_gaussian,0.1,3.641849363414924e-07,0.03046606819519883,0.0004927372094341921,2.590985135015716e-06,0.0661201461430109,0.0013142767681671205,mar_logistic,0.08025835554224717,11.63714572116992,0.2313127111974137,0,ok
pattern_mar_logistic__frac_0p200__seed_0,-0.04243491722412407,,,,0.6234118659861956,,,,0.6348637368711014,,,,32.064163985111435,0.18534198835324528,0.22299861334032103,38.57876010787554,,,,global_mean,0.2,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p200__seed_0,0.00648933133300067,,,,0.6292089465338955,,,,0.6373717966724074,,,,34.170994712490554,0.19752020065023443,0.23762591678962114,41.10928360460446,,,,row_mean,0.2,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p200__seed_0,0.9789178651945514,,,,0.9811141826219809,,,,0.9711369697529278,,,,4.12812182899194,0.02386197589012682,0.05819700549070607,10.06808194989215,,,,soft_impute,0.2,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p200__seed_0,,0.5589191987956107,0.6393336796955773,0.06777051144947994,,0.5096790985081888,0.5705405036032143,0.07068208905195904,,0.5158337569936626,0.5981790602374306,0.06457473357747096,,,,,0.018190255568303466,4.821072003015167,0.11012191900587115,mi_gaussian,0.2,6.077802655719685e-07,0.02786746822552119,0.0006365428844270005,2.844294411676553e-06,0.06255390095243166,0.0013770244276885705,mar_logistic,0.08512688744706734,10.821824864770676,0.2382252259901224,0,ok
pattern_mar_logistic__frac_0p300__seed_0,0.025238988793157224,,,,0.7227684975096347,,,,0.7545822267885468,,,,32.58487152604035,0.1810270640335575,0.21752491835269905,39.15448530348583,,,,global_mean,0.3,,,,,,,mar_logistic,,,,0,ok
pattern_mar_logistic__frac_0p300__seed_0,-0.003401808481673596,,,,0.8038541563277675,,,,0.77740154292619,,,,34.50049748236405,0.19166943045757803,0.23098854930802387,41.577938875444296,,,,row_mean,0.3,,,,,,,mar_logistic,,,,0,ok
